tissue,AD_level,method,name,log2FC,FDR
MSBB_BM22,AD_likely,voom+limma no prefilter,NC_009823.1_region_1_9711__ID=id0,-0.2614973158498732,0.12348337043604408
MSBB_BM22,AD_likely,voom+limma no prefilter,NC_001806.2_region_1_152222__ID=id0,0.4807304394065961,0.1247601524121348
MSBB_BM22,AD_likely,voom+limma no prefilter,NC_006273.2_region_1_235646__ID=id0,0.4490370864898896,0.17067229473367204
MSBB_BM22,AD_likely,voom+limma no prefilter,NC_001460.1_region_1_34125__ID=id0,0.2253228924451509,0.3657125872417703
MSBB_BM22,AD_likely,voom+limma no prefilter,NC_001611.1_region_1_185578__ID=id0,-0.10873349080476258,0.7160847177368662
MSBB_BM22,AD_likely,voom+limma no prefilter,NC_012959.1_region_1_34920__ID=id0,0.14438525937096092,0.7544616872863321
MSBB_BM22,AD_likely,voom+limma no prefilter,NC_009825.1_region_1_9355__ID=id0,0.08798853289173092,0.7164341424504835
MSBB_BM22,AD_likely,voom+limma no prefilter,NC_009333.1_region_1_137969__ID=id0,-0.08205514284674398,0.7160847177368662
MSBB_BM22,AD_likely,voom+limma no prefilter,NC_001405.1_region_1_35937__ID=id0,-0.03530664638868197,0.8292687774074672
MSBB_BM22,AD_likely,voom+limma prefilter,NC_009823.1_region_1_9711__ID=id0,-0.2726813123482671,0.2866409866389263
MSBB_BM22,AD_likely,voom+limma prefilter,NC_002645.1_region_1_27317__ID=id0,-0.4571756729222509,0.2866409866389263
MSBB_BM22,AD_likely,voom+limma prefilter,NC_001798.2_region_1_154675__ID=id0,-0.42052412296372665,0.2866409866389263
MSBB_BM22,AD_likely,voom+limma prefilter,NC_001806.2_region_1_152222__ID=id0,0.3922202503059613,0.4875622406077186
MSBB_BM22,AD_likely,voom+limma prefilter,NC_001460.1_region_1_34125__ID=id0,0.23134844266418098,0.6110864722598466
MSBB_BM22,AD_likely,voom+limma prefilter,NC_006273.2_region_1_235646__ID=id0,0.24384904410120356,0.7674812536013645
MSBB_BM22,AD_likely,voom+limma prefilter,NC_000898.1_region_1_162114__ID=id0,0.17170148026025256,0.7783521425083293
MSBB_BM22,AD_likely,voom+limma prefilter,NC_012959.1_region_1_34920__ID=id0,0.1305432622203151,0.7783521425083293
MSBB_BM22,AD_likely,voom+limma prefilter,NC_001664.2_region_1_159322__ID=id0,-0.06826900558092497,0.8564335631985166
MSBB_BM22,AD_likely,voom+limma prefilter,NC_001716.2_region_1_153080__ID=id0,0.0611511310361057,0.8564335631985166
MSBB_BM22,AD_likely,voom+limma prefilter,NC_001611.1_region_1_185578__ID=id0,-0.11013791527110106,0.7783521425083293
MSBB_BM22,AD_likely,voom+limma prefilter,NC_009825.1_region_1_9355__ID=id0,0.09573057222139747,0.7783521425083293
MSBB_BM22,AD_likely,voom+limma prefilter,NC_009333.1_region_1_137969__ID=id0,-0.07384826752379459,0.7783521425083293
MSBB_BM22,AD_likely,voom+limma prefilter,NC_001405.1_region_1_35937__ID=id0,-0.02522514222183725,0.8746375972643639
MSBB_BM22,AD_likely,edgeR prefilter,NC_001806.2_region_1_152222__ID=id0,0.4844038476346582,0.5580755944856985
