tissue,AD_level,method,name,sx,sy,lx,ly
MAP_DFC,AD_possible,no prefilter,NC_004148.2_region_1_13335__ID=id0,-0.9712129223973882,0.48917273572147213,-0.9944629296289875,0.2995920570831687
MAP_DFC,AD_possible,no prefilter,NC_004158.1_region_1_4888__ID=id0,-0.9860238487606878,0.35092664089175823,-0.9944629296289875,0.2995920570831687
MAP_DFC,AD_possible,no prefilter,NC_004159.1_region_1_12255__ID=id0,-0.9932792774104193,0.30355753342067676,-0.9944629296289875,0.2995920570831687
MAP_DFC,AD_possible,no prefilter,NC_004162.2_region_1_11826__ID=id0,-0.9906851140018027,0.3230832685554895,-0.9944629296289875,0.2995920570831687
MAP_DFC,AD_possible,no prefilter,NC_004183.1_region_1_3586__ID=id0,-0.9979173667998147,0.1747222484710741,-0.9944212181382746,0.2997770477078776
MAP_DFC,AD_possible,no prefilter,NC_004187.1_region_1_2133__ID=id0,-0.9999160566432082,0.03439338218765286,-0.9940907298594155,0.30124276451924287
MAP_DFC,AD_possible,no prefilter,NC_004216.1_region_1_1670_Name=segment_6__ID=id0,-0.988571611799987,0.42256475528929566,-0.9940907298594155,0.30124276451924287
MAP_DFC,AD_possible,no prefilter,NC_004291.1_region_1_6680__ID=id0,-0.9944629296289875,0.2952816236512454,-0.9940907298594155,0.30124276451924287
MAP_DFC,AD_possible,no prefilter,NC_004292.1_region_1_7102__ID=id0,-0.9970509321930372,0.21509819468411187,-0.9940907298594155,0.30124276451924287
MAP_DFC,AD_possible,no prefilter,NC_004297.1_region_1_7279__ID=id0,-0.9678629264691807,0.4245267755389476,-0.9940907298594155,0.30124276451924287
MAP_DFC,AD_possible,no prefilter,NC_004718.3_region_1_29751__ID=id0,-0.9884982176259065,0.34294613571867577,-0.9940907298594155,0.30124276451924287
MAP_DFC,AD_possible,no prefilter,NC_005036.1_region_1_15192__ID=id0,-0.9999160566432082,0.03439338218765286,-0.9937185300898435,0.302893471955317
MAP_DFC,AD_possible,no prefilter,NC_005062.1_region_1_10787__ID=id0,-0.9955160467760216,0.26541209427618434,-0.9937185300898435,0.302893471955317
MAP_DFC,AD_possible,no prefilter,NC_005064.1_region_1_11375__ID=id0,-0.9899789764050091,0.33360119636023755,-0.9937185300898435,0.302893471955317
MAP_DFC,AD_possible,no prefilter,NC_005078.1_region_1_3439__ID=id0,-0.9948409349222374,0.28388137871241753,-0.9937185300898435,0.302893471955317
MAP_DFC,AD_possible,no prefilter,NC_005079.1_region_1_7196__ID=id0,-0.9940907298594155,0.30134357939235085,-0.9932792774104193,0.30484155930925233
MAP_DFC,AD_possible,no prefilter,NC_005081.1_region_1_3411__ID=id0,-0.9937185300898435,0.31344229632160264,-0.9932197243164573,0.30510567751426176
MAP_DFC,AD_possible,no prefilter,NC_005082.1_region_1_7081__ID=id0,-0.9840755117881024,0.3776857187526243,-0.9932197243164573,0.30510567751426176
MAP_DFC,AD_possible,no prefilter,NC_005134.2_region_1_7438__ID=id0,-0.9940907298594155,0.30129427932198155,-0.9932197243164573,0.30510567751426176
MAP_DFC,AD_possible,no prefilter,NC_005216.1_region_1_2059__ID=id0,-0.9932197243164573,0.3234160104448064,-0.9932197243164573,0.30510567751426176
MAP_DFC,AD_possible,no prefilter,NC_005217.1_region_1_6562__ID=id0,-0.9896067766354371,0.3404871244997857,-0.9930416779108029,0.30589531402080233
MAP_DFC,AD_possible,no prefilter,NC_005224.1_region_1_1830__ID=id0,-0.9227286857117285,0.5594981686376469,-0.9928640855295967,0.30668293692713633
MAP_DFC,AD_possible,no prefilter,NC_005226.1_region_1_6541__ID=id0,-0.9952189402154872,0.2725305207997117,-0.9928231342840554,0.30686455586153055
MAP_DFC,AD_possible,no prefilter,NC_005237.1_region_1_3651__ID=id0,-0.9917702956023504,0.35729902173547307,-0.992758301722052,0.307152088527985
MAP_DFC,AD_possible,no prefilter,NC_005238.1_region_1_6530__ID=id0,-0.9864394486329147,0.3830063232879528,-0.9927209185430748,0.30731788307319075
MAP_DFC,AD_possible,no prefilter,NC_005283.1_region_1_15702__ID=id0,-0.9979173667998147,0.17785102320925386,-0.9927209185430748,0.30731788307319075
MAP_DFC,AD_possible,no prefilter,NC_005301.3_region_1_12108__ID=id0,-0.9955160467760216,0.2638481532434402,-0.9926895891924907,0.3074568288657577
MAP_DFC,AD_possible,no prefilter,NC_005831.2_region_1_27553__ID=id0,-0.9602021676354084,0.48457959668804684,-0.9922456070727108,0.3094258913061976
